New York-Newark-Jersey City, NY-NJ-PA MSA
Los Angeles-Long Beach-Anaheim, CA MSA
Chicago-Naperville-Elgin, IL-IN-WI MSA
Dallas-Fort Worth-Arlington, TX MSA
Houston-The Woodlands-Sugar Land, TX MSA
Washington-Arlington-Alexandria, DC-VA-MD-WV MSA
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA
Miami-Fort Lauderdale-West Palm Beach, FL MSA
Atlanta-Sandy Springs-Alpharetta, GA MSA
Boston-Cambridge-Newton, MA-NH MSA
Phoenix-Mesa-Chandler, AZ MSA
San Francisco-Oakland-Berkeley, CA MSA
Riverside-San Bernardino-Ontario, CA MSA
Detroit–Warren–Dearborn, MI MSA
Seattle-Tacoma-Bellevue, WA MSA
Minneapolis-St. Paul-Bloomington, MN-WI MSA
San Diego-Chula Vista-Carlsbad, CA MSA
Tampa-St. Petersburg-Clearwater, FL MSA
Denver-Aurora-Lakewood, CO MSA
Baltimore-Columbia-Towson, MD MSA
St. Louis, MO-IL MSA
Orlando-Kissimmee-Sanford, FL MSA
Charlotte-Concord-Gastonia, NC-SC MSA
San Antonio-New Braunfels, TX MSA
Portland-Vancouver-Hillsboro, OR-WA MSA
Sacramento-Roseville-Folsom, CA MSA
Pittsburgh, PA MSA
Austin-Round Rock-Georgetown, TX MSA
Las Vegas-Henderson-Paradise, NV MSA
Cincinnati, OH-KY-IN MSA
Kansas City, MO-KS MSA
Columbus, OH MSA
Indianapolis-Carmel-Anderson, IN MSA
Cleveland-Elyria, OH MSA
San Jose-Sunnyvale-Santa Clara, CA MSA
Nashville-Davidson–Murfreesboro–Franklin, TN MSA
Virginia Beach-Norfolk-Newport News, VA-NC MSA
Providence-Warwick, RI-MA MSA
Jacksonville, FL MSA
Milwaukee-Waukesha, WI MSA
Oklahoma City, OK MSA
Raleigh-Cary, NC MSA
Memphis, TN-MS-AR MSA
Richmond, VA MSA
Louisville/Jefferson County, KY-IN MSA
New Orleans-Metairie, LA MSA
Salt Lake City, UT MSA
Hartford-East Hartford-Middletown, CT MSA
Buffalo-Niagara Falls, NY MSA
Birmingham-Hoover, AL MSA
Rochester, NY MSA
Grand Rapids-Kentwood, MI MSA
Tucson, AZ MSA
Urban Honolulu, HI MSA
Tulsa, OK MSA
Fresno, CA MSA
Worcester, MA-CT MSA
Omaha-Council Bluffs, NE-IA MSA
Bridgeport-Stamford-Norwalk, CT MSA
Greenville-Anderson, SC MSA
Albuquerque, NM MSA
Bakersfield, CA MSA
Albany-Schenectady-Troy, NY MSA
Knoxville, TN MSA
McAllen-Edinburg-Mission, TX MSA
Baton Rouge, LA MSA
El Paso, TX MSA
New Haven-Milford, CT MSA
Allentown-Bethlehem-Easton, PA-NJ MSA
Oxnard-Thousand Oaks-Ventura, CA MSA
North Port-Sarasota-Bradenton, FL MSA
Columbia, SC MSA
Dayton-Kettering, OH MSA
Charleston-North Charleston, SC MSA
Stockton, CA MSA
Greensboro-High Point, NC MSA
Boise City, ID MSA
Cape Coral-Fort Myers, FL MSA
Colorado Springs, CO MSA
Little Rock-North Little Rock-Conway, AR MSA
Lakeland-Winter Haven, FL MSA
Des Moines-West Des Moines, IA MSA
Akron, OH MSA
Springfield, MA MSA
Poughkeepsie-Newburgh-Middletown, NY MSA
Ogden-Clearfield, UT MSA
Madison, WI MSA
Winston-Salem, NC MSA
Provo-Orem, UT MSA
Deltona-Daytona Beach-Ormond Beach, FL MSA
Syracuse, NY MSA
Durham-Chapel Hill, NC MSA
Wichita, KS MSA
Toledo, OH MSA
Augusta-Richmond County, GA-SC MSA
Palm Bay-Melbourne-Titusville, FL MSA
Jackson, MS MSA
Harrisburg-Carlisle, PA MSA
Spokane-Spokane Valley, WA MSA
Scranton–Wilkes-Barre, PA MSA
Chattanooga, TN-GA MSA
Lancaster, PA MSA
Modesto, CA MSA
Portland-South Portland, ME MSA
Fayetteville-Springdale-Rogers, AR MSA
Lansing-East Lansing, MI MSA
Youngstown-Warren-Boardman, OH-PA MSA
Fayetteville, NC MSA
Lexington-Fayette, KY MSA
Pensacola-Ferry Pass-Brent, FL MSA
Huntsville, AL MSA
Reno, NV MSA
Santa Rosa-Petaluma, CA MSA
Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA
Port St. Lucie, FL MSA
Lafayette, LA MSA
Springfield, MO MSA
Killeen-Temple, TX MSA
Visalia, CA MSA
Asheville, NC MSA
York-Hanover, PA MSA
Vallejo, CA MSA
Santa Maria-Santa Barbara, CA MSA
Salinas, CA MSA
Salem, OR MSA
Mobile, AL MSA
Reading, PA MSA
Manchester-Nashua, NH MSA
Corpus Christi, TX MSA
Brownsville-Harlingen, TX MSA
Fort Wayne, IN MSA
Salisbury, MD-DE MSA
Gulfport-Biloxi, MS MSA
Flint, MI MSA
Savannah, GA MSA
Peoria, IL MSA
Canton-Massillon, OH MSA
Anchorage, AK MSA
Beaumont-Port Arthur, TX MSA
Shreveport-Bossier City, LA MSA
Trenton-Princeton, NJ MSA
Montgomery, AL MSA
Davenport-Moline-Rock Island, IA-IL MSA
Tallahassee, FL MSA
Eugene-Springfield, OR MSA
Ocala, FL MSA
Naples-Marco Island, FL MSA
Ann Arbor, MI MSA
Hickory-Lenoir-Morganton, NC MSA
Huntington-Ashland, WV-KY-OH MSA
Fort Collins, CO MSA
Lincoln, NE MSA
Gainesville, FL MSA
Rockford, IL MSA
Boulder, CO MSA
Greeley, CO MSA
Columbus, GA-AL MSA
Green Bay, WI MSA
Spartanburg, SC MSA
